,Count of \N,Count of NaN
a_unique_user_id,5265751,0
a_email,5531734,0
a_phone_number,5559093,0
a_name,5423497,26
event_name,0,6736963
e_source,0,6736963
e_session_id,6774169,0
e_url,6779186,0
e_taxonomy,6752548,0
e_product_id,6751044,0
e_name,6752622,0
e_currency,6751044,0
e_unit_price,6751044,0
e_unit_sale_price,6766111,0
e_quantity,6751044,0
e_product_image_url,6752213,0
e_size,6812982,0
e_stock,6819161,0
e_color,6819161,0
e_voucher_discount,6819161,0
e_shipping_cost,6818916,0
e_iis,6819161,0
e_promotion_discount,6819161,0
e_voucher_name,6819161,0
e_promotion_name,6819161,0
e_nc_usp,6794354,0
e_c_variant,6793725,0
e_c_brand_name,6749811,0
e_c_combination_id,6753984,0
e_c_shade,6784433,0
e_c_unit_sale_price,6804487,0
e_nc_up,6779287,0
e_nc_cu,6779287,0
e_c_is_out_of_stock,6804341,0
e_timestamp,0,6736963
e_device_type,6795814,0
e_referrer,6801149,0
e_search_query,6819161,0
e_c_non_specify,6791745,0
e_brand_name,6798575,0
e_combination_id,6797744,0
e_is_default,6796299,0
e_c_id,6819019,0
e_c_taxonomy,6819009,0
e_c_unit_price,6819009,0
e_c_default_category,6790766,0
e_c_groupcode,6819118,0
e_c_url,6819118,0
e_c_currency,6819161,0
e_c_name,6819009,0
e_c_product_image_url,6819009,0
e_groupcode,6819052,0
e_c_keyword,6810106,0
e_event_group_id,6790321,0
e_c_payment_method,6790673,0
e_c_size,6805033,0
e_c_total_redeem_point,6790598,0
e_c_store_name,6790918,0
e_c_source,6790918,0
e_c_voucher_applied_code,6817206,0
e_c_city,6819007,0
e_c_district,6819007,0
e_c_country,6819009,0
e_c_subtotal,6818916,0
e_c_total,6818916,0
e_c_order_source,6818841,0
e_c_order_type,6818841,0
iid,0,0
